agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url,agency_email
TAN,"TAN","http://www.destineo.fr",Europe/Paris,FR,,,
IRIGO,"IRIGO","http://www.destineo.fr",Europe/Paris,FR,,,
IMPULSYON,"IMPULSYON","http://www.destineo.fr",Europe/Paris,FR,,,
CARENE,"STRAN","http://www.destineo.fr",Europe/Paris,FR,,,
SETRAM,"SETRAM","http://www.destineo.fr",Europe/Paris,FR,,,
CHOLETBUS,"CHOLETBUS","http://www.destineo.fr",Europe/Paris,FR,,,
SNCF,"SNCF","http://www.destineo.fr",Europe/Paris,FR,,,
LILAPRESQUILE,"LILAPRESQUILE","http://www.destineo.fr",Europe/Paris,FR,,,
NTE,"Aéroport Nantes Atlantique","http://www.destineo.fr",Europe/Paris,FR,,,
OLEANE,"OLEANE","http://www.destineo.fr",Europe/Paris,FR,,,
AGGLOBUS,"OGALO","http://www.destineo.fr",Europe/Paris,FR,,,
RESO,"RESO","http://www.destineo.fr",Europe/Paris,FR,,,
TUL,"TUL","http://www.destineo.fr",Europe/Paris,FR,,,
ALEOP,"ALEOP","http://www.destineo.fr",Europe/Paris,FR,,,
