route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
TAN:1-0,TAN,"1","François Mitterrand / Jamet - Beaujoire / Ranzay","",0,,007A45,FFFFFF
TAN:10-0,TAN,"10","Gare de Chantenay - Bd de Doulon","",3,,FFED00,000000
TAN:101-0,TAN,"101","Mairie de Couëron - Sinière","",3,,FFFFFF,E53138
TAN:102-0,TAN,"102","Chalonges - René Bernier","",3,,FFFFFF,E53138
TAN:104-0,TAN,"104","Les Sorinières - Petite Lande","",3,,FFFFFF,E53138
TAN:107-0,TAN,"107","Bournière - Reinetière","",3,,FFFFFF,E53138
TAN:109-0,TAN,"109","Ferrière - Couchant","",3,,FFFFFF,E53138
TAN:11-0,TAN,"11","Tertre - Perray","",3,,E9C389,000000
TAN:111-0,TAN,"111","ADAPEI à Tillay - Lycée Appert","",3,,FFFFFF,E53138
TAN:112-0,TAN,"112","St Blaise - Savarières","",3,,FFFFFF,E53138
TAN:115-0,TAN,"115","Lycée Carquefou - Beaujoire","",3,,FFFFFF,E53138
TAN:117-0,TAN,"117","Le Halleray - Reinetière","",3,,FFFFFF,E53138
TAN:119-0,TAN,"119","Mairie d'Orvault - Angevinière","",3,,FFFFFF,E53138
TAN:12-0,TAN,"12","Jules Verne - Beauséjour","",3,,B5DDF3,000000
TAN:122-0,TAN,"122","Savarières - St Blaise","",3,,FFFFFF,E53138
TAN:127-0,TAN,"127","Colinière - Monteverdi","",3,,FFFFFF,E53138
TAN:128-0,TAN,"128","Pé de Buzay - Lycée d'Orbigny","",3,,FFFFFF,E53138
TAN:129-0,TAN,"129","Les Anges - Angevinière","",3,,FFFFFF,E53138
TAN:131-0,TAN,"131","Bac de Couëron - Mendès France Bellevue","",3,,FFFFFF,E53138
TAN:137-0,TAN,"137","Chinon / Monteverdi - Toutes Aides","",3,,FFFFFF,E53138
TAN:138-0,TAN,"138","Le Pellerin - Lycée de Bouaye","",3,,FFFFFF,E53138
TAN:139-0,TAN,"139","Sautron - Angevinière","",3,,FFFFFF,E53138
TAN:142-0,TAN,"142","CAT Vertonne - Porte de Vertou","",3,,FFFFFF,E53138
TAN:147-0,TAN,"147","Bournière - Toutes Aides","",3,,FFFFFF,E53138
TAN:149-0,TAN,"149","Cheverny - Sautron","",3,,FFFFFF,E53138
TAN:152-0,TAN,"152","La Herdrie - Pirmil","",3,,FFFFFF,E53138
TAN:157-0,TAN,"157","Toutes Aides - Le Halleray","",3,,FFFFFF,E53138
TAN:158-0,TAN,"158","St Jean de Boisseau - Lycée de Bouaye","",3,,FFFFFF,E53138
TAN:159-0,TAN,"159","Sautron - Angevinière","",3,,FFFFFF,E53138
TAN:169-0,TAN,"169","Sautron - Thébaudières","",3,,FFFFFF,E53138
TAN:179-0,TAN,"179","Les Anges - Orvault-Morlière","",3,,FFFFFF,E53138
TAN:189-0,TAN,"189","Pont Marchand - Angevinière","",3,,FFFFFF,E53138
TAN:2-0,TAN,"2","Orvault Grand Val - Gare de Pont Rousseau","",0,,E53138,FFFFFF
TAN:23-0,TAN,"23","Haluchère Batignolles - Maison des arts","",3,,34B4E4,FFFFFF
TAN:26-0,TAN,"26","Jonelière - Hôtel de Région","",3,,009534,FFFFFF
TAN:27-0,TAN,"27","La Herdrie - Pirmil","",3,,B5DDF3,000000
TAN:28-0,TAN,"28","Vertou - Pirmil","",3,,B5DDF3,000000
TAN:3-0,TAN,"3","Marcel Paul - Neustrie","",0,,0079BC,FFFFFF
TAN:30-0,TAN,"30","Joliverie / Iles de Loire - Trentemoult","",3,,FFED00,000000
TAN:33-0,TAN,"33","Robinière / L'Aufrère - Espace Diderot","",3,,F5BAC6,000000
TAN:36-0,TAN,"36","Greneraie - Croix Jeannette","",3,,00A4A7,FFFFFF
TAN:3B-0,TAN,"3B","Marcel Paul - Neustrie","",3,,0079BC,FFFFFF
TAN:4-0,TAN,"4","Foch - Cathédrale - Porte de Vertou","",3,,FDC600,000000
TAN:40-0,TAN,"40","Mendès France - Bellevue - Neustrie","",3,,FFED00,000000
TAN:42-0,TAN,"42","Vertou - Pirmil","",3,,CBD300,000000
TAN:47-0,TAN,"47","Pégers / Grande Noëlle - Vertou","",3,,BEABD0,FFFFFF
TAN:50-0,TAN,"50","Basse Indre - Porte de La Chapelle","",3,,FFED00,000000
TAN:54-0,TAN,"54","Marcel Paul - Saupin","",3,,CBD300,000000
TAN:59-0,TAN,"59","Mendès France - Bellevue - Bout des Landes","",3,,F5BAC6,000000
TAN:66-0,TAN,"66","Babinière - Ecole Centrale-Audencia","",3,,2C4393,FFFFFF
TAN:67-0,TAN,"67","Le Cellier - Centre de Thouaré","",3,,2C4393,FFFFFF
TAN:69-0,TAN,"69","Sautron - Orvault Morlière","",3,,C0893A,FFFFFF
TAN:71-0,TAN,"71","Bac de Couëron - François Mitterrand","",3,,CBD300,000000
TAN:75-0,TAN,"75","Charbonneau - Facultés","",3,,E9C389,000000
TAN:77-0,TAN,"77","Sables d'Or - Haluchère - Batignolles","",3,,B5DDF3,000000
TAN:78-0,TAN,"78","Bac du Pellerin - Neustrie","",3,,F8B323,000000
TAN:79-0,TAN,"79","Orvault - Beauséjour","",3,,F5BAC6,000000
TAN:80-0,TAN,"80","Chassay / Bellevue -  Fac de Droit","",3,,FFED00,000000
TAN:81-0,TAN,"81","Mendès France - Bellevue - Gare Maritime","",3,,00A4A7,FFFFFF
TAN:85-0,TAN,"85","Souchais - Haluchère - Batignolles","",3,,F5BAC6,000000
TAN:86-0,TAN,"86","La Chapelle Aulnay - Bout des Pavés","",3,,34B4E4,FFFFFF
TAN:87-0,TAN,"87","Le Halleray - Toutes Aides","",3,,F8B323,000000
TAN:88-0,TAN,"88","Château d'Aux - Neustrie","",3,,BEABD0,FFFFFF
TAN:89-0,TAN,"89","Le Cardo - Beauséjour","",3,,77AD1C,FFFFFF
TAN:91-0,TAN,"91","Couëron-Bougon - Mendès France - Bellevue","",3,,009534,FFFFFF
TAN:93-0,TAN,"93","Hôpital Laënnec - Hauts de Couëron","",3,,00A4A7,FFFFFF
TAN:95-0,TAN,"95","Bois St-Lys - Haluchère - Batignolles","",3,,CBD300,000000
TAN:96-0,TAN,"96","Coutancière - Bout des Pavés","",3,,F8B323,000000
TAN:97-0,TAN,"97","Vertou - Trentemoult","",3,,BEABD0,FFFFFF
TAN:98-0,TAN,"98","St-Léger-les-Vignes / Brains - Neustrie","",3,,F8B323,000000
TAN:C1-0,TAN,"C1","Haluchère - Batignolles - Gare de Chantenay","",3,,34B4E4,FFFFFF
TAN:C2-0,TAN,"C2","Le Cardo - Gare Sud","",3,,ED7703,FFFFFF
TAN:C3-0,TAN,"C3","Armor - Bd de Doulon","",3,,F8B323,000000
TAN:C4-0,TAN,"C4","Les Sorinières - Greneraie","",3,,77AD1C,FFFFFF
TAN:C6-0,TAN,"C6","Chantrerie Grandes Ecoles - Hermeland","",3,,BEABD0,FFFFFF
TAN:C7-0,TAN,"C7","Trianon / Clairais - Souillarderie","",3,,CBD300,000000
TAN:E1-0,TAN,"E1","Couëron Océan - Gare Maritime","",3,,E53138,FFFFFF
TAN:E4-0,TAN,"E4","Porte de Vertou - Vertou","",3,,E53138,FFFFFF
TAN:E5-0,TAN,"E5","Carquefou - Fac de Droit","",3,,E53138,FFFFFF
TAN:E8-0,TAN,"E8","La Cochère - Greneraie","",3,,E53138,FFFFFF
TAN:LCE-0,TAN,"LCE","Cotalard - Léo Lagrange","",3,,009534,FFFFFF
TAN:LCN-0,TAN,"LCN","Léo Lagrange - Pont Pilet","",3,,E53138,FFFFFF
TAN:LCO-0,TAN,"LCO","René Cassin - Léo Lagrange","",3,,34B4E4,FFFFFF
TAN:NA-0,TAN,"NA","Aéroport - Hôtel Dieu","",3,,34B4E4,FFFFFF
SETRAM:11,SETRAM,"11","Le Cadran/St-Aubin - Closerie","",3,,FEDD00,000000
SETRAM:12,SETRAM,"12","Domaine de Beauregard - Zamenhof","",3,,FCB514,FFFFFF
SETRAM:17,SETRAM,"17","Gallière - Mairie","",3,,9B4F96,FFFFFF
SETRAM:20,SETRAM,"20","Éperon - Aigné","",3,,ED2893,FFFFFF
SETRAM:21,SETRAM,"21","St-Martin - Arnage-Hôtel de Ville","",3,,70CE9B,000000
SETRAM:22,SETRAM,"22","Sargé-lès-Le-Mans par Zamenhof","",3,,A5A0D6,000000
SETRAM:23,SETRAM,"23","République - Yvré-l'Évêque","",3,,A5A0D6,FFFFFF
SETRAM:24,SETRAM,"24","Antarès - Stade Marie Marvingt - Mulsanne","",3,,F9E814,000000
SETRAM:25,SETRAM,"25","République - Champagné","",3,,00B2AA,FFFFFF
SETRAM:26,SETRAM,"26","St-Georges / St-Joseph - Allonnes","",3,,E87511,000000
SETRAM:27,SETRAM,"27","Mairie Ruaudin - Antarès - Stade Marie Marvingt","",3,,BD3D31,FFFFFF
SETRAM:4,SETRAM,"4","St-Georges / St-Joseph – Bellevue-Hauts de C.","",3,,1EB53A,FFFFFF
SETRAM:5,SETRAM,"5","Gazonfier - Oasis-Centre des Expositions","",3,,9B0070,000000
SETRAM:6,SETRAM,"6","République - St-Martin","",3,,1B4395,FFFFFF
SETRAM:T1,SETRAM,"T1","Antarès - Stade Marie Marvingt - Université","",0,,D81E05,FFFFFF
SETRAM:T2,SETRAM,"T2","Espal-Arche de la Nature – Bellevue-Hauts de C.","",0,,1564AD,FFFFFF
SETRAM:T3,SETRAM,"T3","Allonnes-Bois Joli - Gares","",3,,5EB24B,FFFFFF
CHOLETBUS:1,CHOLETBUS,"1","L'Autre Faubourg - Arcole","",3,,57AA46,ffffff
CHOLETBUS:19,CHOLETBUS,"6a","Hôtel de Ville - Bois Lavau","",3,,B07761,ffffff
CHOLETBUS:2,CHOLETBUS,"4","Musée Textile et Mode - Le Plessis","",3,,00B9F1,ffffff
CHOLETBUS:22,CHOLETBUS,"6","Langeais - Polyclinique","",3,,B07761,ffffff
CHOLETBUS:23,CHOLETBUS,"1a","Le Cormier - Hôtel de Ville/Gare SNCF","",3,,57AA46,ffffff
CHOLETBUS:26,CHOLETBUS,"3a","Verger - Bois d'Ouin","",3,,0071BB,ffffff
CHOLETBUS:28,CHOLETBUS,"1b","ZI Ecuyère - Hôtel de Ville","",3,,57AA46,ffffff
CHOLETBUS:29,CHOLETBUS,"A","Eurespace - Le Plessis","",3,,D4C2FF,000000
CHOLETBUS:3,CHOLETBUS,"2","Croix Blanche - Verger","",3,,F2594F,ffffff
CHOLETBUS:4,CHOLETBUS,"3","Arcole - Verger","",3,,0071BB,ffffff
CHOLETBUS:7,CHOLETBUS,"5","Val de Moine - Hôtel de Ville","",3,,FFFF00,000000
SNCF:1000,SNCF,"","Rennes - Brest","",2,,,
SNCF:1001,SNCF,"","Dol - Saint Brieuc","",2,,,
SNCF:1002,SNCF,"","PARIS-DIJON - MULHOUSE - TER GRAND EST","",2,,,
SNCF:1026,SNCF,"","Guingamp - Paimpol","",2,,,
SNCF:1056,SNCF,"","Besançon - Morteau - La Chaux de Fonds","",2,,,
SNCF:1057,SNCF,"","Dole / Pontarlier - Besançon / Dole / St Claude","",2,,,
SNCF:1058,SNCF,"","Belfort / Vesoul - Belfort / Epinal","",2,,,
SNCF:1059,SNCF,"","Besançon Viotte - Besançon TGV","",2,,,
SNCF:1060,SNCF,"","Belfort - Lyon","",2,,,
SNCF:1061,SNCF,"","Belfort - Delle","",2,,,
SNCF:1062,SNCF,"","Pontarlier - Frasne - Vallorbe","",2,,,
SNCF:1075,SNCF,"","Guingamp - Carhaix","",2,,,
SNCF:1080,SNCF,"","Salbris - Romorantin - Luçay le Mâle","",2,,,
SNCF:1081,SNCF,"","Commentry / Montluçon / Vierzon","",2,,,
SNCF:1082,SNCF,"","Tours - Nevers","",2,,,
SNCF:1083,SNCF,"","Orléans - Nevers","",2,,,
SNCF:1085,SNCF,"","ORL-TOURS","",2,,,
SNCF:1086,SNCF,"","Tours - Saumur","",2,,,
SNCF:1087,SNCF,"","Droué - Chartres - Courtalain","",2,,,
SNCF:1092,SNCF,"","Belfort - Besançon","",2,,,
SNCF:1093,SNCF,"","Besançon - Dijon","",2,,,
SNCF:1121,SNCF,"","Quimper - Brest","",2,,,
SNCF:1126,SNCF,"","Saumur-Angers-Cholet","",2,,,
SNCF:1134,SNCF,"","Navettes Franois-Villers-Neuilly (cars)","",3,,,
SNCF:1168,SNCF,"","Paris - Nevers","",2,,,
SNCF:1176,SNCF,"","POITIERS - TOURS","",2,,,
SNCF:1177,SNCF,"","THOUARS - SAUMUR - ANGERS","",2,,,
SNCF:1178,SNCF,"","LA ROCHE SUR YON - BRESSUIRE - SAUMUR - TOURS","",2,,,
SNCF:1182,SNCF,"","Cars Moulins / Vichy (cars)","",3,,,
SNCF:1183,SNCF,"","Cars Aurillac / Figeac (cars)","",3,,,
SNCF:1185,SNCF,"","Cars Arvant / Aurillac (cars)","",3,,,
SNCF:1206,SNCF,"","Lorient-Quimperlé (cars)","",3,,,
SNCF:1231,SNCF,"","Clermont-Fd - Lyon","",2,,,
SNCF:1236,SNCF,"","LAON-FISMES","",2,,,
SNCF:1239,SNCF,"","Nantes - Redon - Rennes","",2,,,
SNCF:1254,SNCF,"","BELLEGARDE - GENEVE","",2,,,
SNCF:1256,SNCF,"","Laval-Vitré-Rennes","",2,,,
SNCF:1261,SNCF,"","Poitiers-La Rochelle","",2,,,
SNCF:1263,SNCF,"","La Rochelle-Bordeaux","",2,,,
SNCF:1266,SNCF,"","La Rochelle-Saintes","",2,,,
SNCF:1267,SNCF,"","La Rochelle-Rochefort","",2,,,
SNCF:1270,SNCF,"","Limoges-Uzerche-Brive","",2,,,
SNCF:1271,SNCF,"","Limoges-St Yrieix-Brive","",2,,,
SNCF:1277,SNCF,"","Limoges-Périgueux-Bordeaux","",2,,,
SNCF:1282,SNCF,"","Périgueux-Bordeaux","",2,,,
SNCF:1284,SNCF,"","Périgueux-Agen/Sarlat","",2,,,
SNCF:1286,SNCF,"","Bordeaux-Arcachon","",2,,,
SNCF:1287,SNCF,"","St Mariens-Bordeaux","",2,,,
SNCF:1288,SNCF,"","Bordeaux-Mont de Marsan","",2,,,
SNCF:1289,SNCF,"","Bordeaux-Hendaye","",2,,,
SNCF:1290,SNCF,"","Bordeaux-Pau-Tarbes","",2,,,
SNCF:1292,SNCF,"","Bayonne-St Jean Pied de Port","",2,,,
SNCF:1293,SNCF,"","Pau-Bedous","",2,,,
SNCF:1294,SNCF,"","Bordeaux-Langon","",2,,,
SNCF:1295,SNCF,"","Bordeaux-Agen","",2,,,
SNCF:1296,SNCF,"","Bordeaux-Pointe de Grave","",2,,,
SNCF:1297,SNCF,"","Pessac-Macau","",2,,,
SNCF:1310,SNCF,"","Le Mans-Rennes","",2,,,
SNCF:1312,SNCF,"","Lannion - Brest","",2,,,
SNCF:1314,SNCF,"","Nantes - Quimper - Brest","",2,,,
SNCF:1324,SNCF,"","Rennes - Quimper","",2,,,
SNCF:1344,SNCF,"","CARPENTRAS / AVIGNON TGV","",2,,,
SNCF:1345,SNCF,"","Nantes - Saint-Nazaire - Le Croisic","",2,,,
SNCF:1353,SNCF,"","Le Mans - Angers - Nantes","",2,,,
SNCF:1355,SNCF,"","tram-train-SGS","",0,,,
SNCF:1358,SNCF,"","Nantes - Cholet","",2,,,
SNCF:1361,SNCF,"","Nantes-La Roche sur Yon - Les Sables","",2,,,
SNCF:1363,SNCF,"","Nantes - Saint-Gilles-Croix-de-Vie - Pornic","",2,,,
SNCF:1364,SNCF,"","Angers - Cholet","",2,,,
SNCF:1365,SNCF,"","Verdun-Nancy","",2,,,
SNCF:1366,SNCF,"","Châteaubriant - Rennes","",2,,,
SNCF:1367,SNCF,"","Nantes - Redon","",2,,,
SNCF:1368,SNCF,"","Le Mans - Le Croisic","",2,,,
SNCF:1370,SNCF,"","Luxembourg-Metz-Nancy","",2,,,
SNCF:1373,SNCF,"","Sarrebourg-Rémilly-Metz","",2,,,
SNCF:1374,SNCF,"","Treves-Metz","",2,,,
SNCF:1375,SNCF,"","Thionville-Longwy","",2,,,
SNCF:1376,SNCF,"","Thouars - La-Roche-sur-Yon","",2,,,
SNCF:1377,SNCF,"","Sarreguemines-Béning -Metz","",2,,,
SNCF:1378,SNCF,"","MARSEILLE/LES ARCS","",2,,,
SNCF:1379,SNCF,"","Orléans - Tours - Nantes - Le Croisic","",2,,,
SNCF:1380,SNCF,"","MARSEILLE/AIX/PERTUIS","",2,,,
SNCF:1381,SNCF,"","IC MARSEILLE/SISTERON/BRIANCON + GAP/BRI","",2,,,
SNCF:1382,SNCF,"","Paris-Le Mans","",2,,,
SNCF:1383,SNCF,"","Lunéville-Nancy","",2,,,
SNCF:1385,SNCF,"","Pont-St-Vincent- Nancy","",2,,,
SNCF:1386,SNCF,"","Dijon-Culmont-Neufchateau-Toul- Nancy","",2,,,
SNCF:1387,SNCF,"","Remiremont-Epinal-Nancy-Metz","",2,,,
SNCF:1388,SNCF,"","St-Dié-Nancy","",2,,,
SNCF:1390,SNCF,"","Verdun-Onville-Metz","",2,,,
SNCF:1391,SNCF,"","Verdun-Conflans-Hagondange-Metz","",2,,,
SNCF:1393,SNCF,"","Tours -Caen","",2,,,
SNCF:1400,SNCF,"","Clermont Fd pass nord / sud","",2,,,
SNCF:1405,SNCF,"","Aurillac / Figeac / Capdenac","",2,,,
SNCF:1408,SNCF,"","Redon - Quimper","",2,,,
SNCF:1417,SNCF,"","Cars Volvic / St Gervais (cars)","",3,,,
SNCF:1420,SNCF,"","Toulouse / Auch","",2,,,
SNCF:1421,SNCF,"","Toulouse / Latour de Carol","",2,,,
SNCF:1422,SNCF,"","Toulouse / Mazamet","",2,,,
SNCF:1423,SNCF,"","Toulouse / Rodez","",2,,,
SNCF:1424,SNCF,"","Brive / Rodez","",2,,,
SNCF:1425,SNCF,"","Rodez / Millau / Tournemire-Roquefort (cars)","",3,,,
SNCF:1426,SNCF,"","Toulouse / Luchon / Pau","",2,,,
SNCF:1428,SNCF,"","Toulouse / Brive","",2,,,
SNCF:1439,SNCF,"","Cars Clermont / Le Puy (cars)","",3,,,
SNCF:1444,SNCF,"","Rennes - Saint Malo","",2,,,
SNCF:1456,SNCF,"","Cars Montluçon / Gannat / Clermont Fd (cars)","",3,,,
SNCF:1457,SNCF,"","Cars Montluçon / Vierzon (cars)","",3,,,
SNCF:1464,SNCF,"","Cars Clermont Fd / St Etienne (cars)","",3,,,
SNCF:1479,SNCF,"","Rennes - Vannes","",2,,,
SNCF:1508,SNCF,"","Car THIONVILLE - APACH (cars)","",3,,,
SNCF:1509,SNCF,"","Car REMILLY - MORHANGE (cars)","",3,,,
SNCF:1512,SNCF,"","Car SARREGUEMINES - BENING (cars)","",3,,,
SNCF:1513,SNCF,"","Car LONGWY - LONGUYON (cars)","",3,,,
SNCF:1539,SNCF,"","Car NANCY - METZ (cars)","",3,,,
SNCF:1542,SNCF,"","Car SARREBOURG - SARREGUEMINES (cars)","",3,,,
SNCF:1547,SNCF,"","Car ST DIE - EPINAL (cars)","",3,,,
SNCF:1549,SNCF,"","Car NANCY - NEUFCHATEAU (cars)","",3,,,
SNCF:1551,SNCF,"","Car CREUTZWALD - THIONVILLE (cars)","",3,,,
SNCF:1554,SNCF,"","Car SARREBOURG - MORHANGE (cars)","",3,,,
SNCF:1562,SNCF,"","Carcassonne-Quillan","",2,,,
SNCF:1563,SNCF,"","Nîmes-Le Grau du Roi","",2,,,
SNCF:1579,SNCF,"","ROUEN LE HAVRE","",2,,,
SNCF:1580,SNCF,"","ELBEUF YVETOT","",2,,,
SNCF:1584,SNCF,"","Perpignan-Villefranche","",2,,,
SNCF:1585,SNCF,"","Villefranche-La Tour de Carol","",2,,,
SNCF:1586,SNCF,"","Dijon / Clermont Multi-Activités","",2,,,
SNCF:1588,SNCF,"","Nîmes-Mende-St Chély d'Apcher","",2,,,
SNCF:1589,SNCF,"","Béziers-Neussargues","",2,,,
SNCF:1590,SNCF,"","ROMANS/BRIANCON","",2,,,
SNCF:1597,SNCF,"","Nantes - Luçon - La Rochelle","",2,,,
SNCF:1599,SNCF,"","Le Mans-Laval","",2,,,
SNCF:1600,SNCF,"","Nantes-Saumur","",2,,,
SNCF:1602,SNCF,"","Le Mans - Nogent","",2,,,
SNCF:1603,SNCF,"","Le Mans-Caen","",2,,,
SNCF:1606,SNCF,"","Chateau du Loir - Le Mans - Alençon","",2,,,
SNCF:1607,SNCF,"","Nantes - Sablé - Rennes (Virgule)","",2,,,
SNCF:1608,SNCF,"","IV Marseille - Nice - Menton - Vintimille","",2,,,
SNCF:1626,SNCF,"","Rennes - Saint Brieuc","",2,,,
SNCF:1629,SNCF,"","CHARLEVILLE-GIVET","",2,,,
SNCF:1631,SNCF,"","CHATEAU THIERRY-CHALONS-EPERNAY-REIMS","",2,,,
SNCF:1633,SNCF,"","CGV-REIMS-DIJON","",2,,,
SNCF:1634,SNCF,"","CGV-REIMS (Navettes)","",2,,,
SNCF:1635,SNCF,"","CGV-SEDAN","",2,,,
SNCF:1636,SNCF,"","CHARLEVILLE - THIONVILLE","",2,,,
SNCF:1643,SNCF,"","MARSEILLE/AVIGNON/ORANGE via RGC, ARS et CNV","",2,,,
SNCF:1644,SNCF,"","MARSEILLE/MIRAMAS via PDB","",2,,,
SNCF:1672,SNCF,"","Saint Brieuc - Brest","",2,,,
SNCF:1674,SNCF,"","Res-Dol-Din","",2,,,
SNCF:1675,SNCF,"","Saint Brieuc - Lannion","",2,,,
SNCF:1698,SNCF,"","Salbris - Valençay (cars)","",3,,,
SNCF:1728,SNCF,"","Cars Reguliers L 06  (Nantes - Clisson - Cholet) (cars)","",3,,,
SNCF:1730,SNCF,"","Cars Reguliers L 11  (Nantes - St Gilles Croix de Vie) (cars)","",3,,,
SNCF:1789,SNCF,"","BUS TX PARIS - BAR LE DUC (cars)","",3,,,
SNCF:1790,SNCF,"","BUS CGV - RE - DN (cars)","",3,,,
SNCF:1791,SNCF,"","BUS TER CHARLEVILLE - GIVET (cars)","",3,,,
LILAPRESQUILE:10569694,LILAPRESQUILE,"1","Guérande / La Baule","",3,,303192,FFFFFF
LILAPRESQUILE:10569695,LILAPRESQUILE,"2","Herbignac / Saint-Lyphard / Guérande / Saint-Nazaire","",3,,FF2D16,FFFFFF
LILAPRESQUILE:10569697,LILAPRESQUILE,"4","Piriac-Sur-Mer / La Turballe / Guérande / La Baule","",3,,48C9C8,FFFFFF
