from_stop_id,to_stop_id,transfer_type,min_transfer_time
ALEOP:1612,ALEOP:1401,3,
ALEOP:17MARAaligR,ALEOP:17MARAaligA,3,
ALEOP:17ROCHhopiR,ALEOP:17ROCHhopiA,0,
ALEOP:17ROCHhopiR,ALEOP:17ROCHjoffU,3,
ALEOP:17ROCHjoffU,ALEOP:17ROCHhopiA,0,
ALEOP:17ROCHpattR,ALEOP:17ROCHpattA,3,
ALEOP:2171,ALEOP:2170,0,
ALEOP:35GUERfoirR,ALEOP:35GUERfoirA,0,
ALEOP:35REDOgareA,SNCF:87471300,0,
ALEOP:35REDOgareR,ALEOP:35REDOgareA,3,
ALEOP:35REDOgareR,SNCF:87471300,0,
ALEOP:44AIGRcoinR,ALEOP:44AIGRcoinA,0,
ALEOP:44AIGRjaunR,ALEOP:44AIGRjaunA,0,
ALEOP:44AIGRmairR,ALEOP:44AIGRmairA,0,
ALEOP:44AIGRplesR,ALEOP:44AIGRplesA,0,
ALEOP:44ANCEgranR,ALEOP:44ANCEgranA,3,
ALEOP:44ANCEjoseA,SNCF:87481192,0,
ALEOP:44ANCEjoseA,SNCF:87744177,0,
ALEOP:44ANCEjoseR,ALEOP:44ANCEjoseA,3,
ALEOP:44ANCEjoseR,SNCF:87481192,0,
ALEOP:44ANCEjoseR,SNCF:87744177,0,
ALEOP:44ANCEmariR,ALEOP:44ANCEmariA,3,
ALEOP:44ANCEsncfU,ALEOP:44ANCEjoseA,0,
ALEOP:44ANCEsncfU,SNCF:87481192,0,
ALEOP:44ANCEsncfU,SNCF:87744177,0,
ALEOP:44ARTHboizR,ALEOP:44ARTHboizA,3,
ALEOP:44ARTHpercR,ALEOP:44ARTHpercA,3,
ALEOP:44ARTHrelaR,ALEOP:44ARTHrelaA,3,
ALEOP:44ARTHsicaR,ALEOP:44ARTHsicaA,3,
ALEOP:44AUBIgareR,ALEOP:44AUBIgareA,3,
ALEOP:44AVESpoteR,ALEOP:44AVESpoteA,3,
ALEOP:44BARBbarbR,ALEOP:44BARBbarbA,3,
ALEOP:44BASSchapR,ALEOP:44BASSchapA,0,
ALEOP:44BASSmairR,ALEOP:44BASSmairA,0,
ALEOP:44BASSrollR,ALEOP:44BASSrollA,3,
ALEOP:44BASSsensR,ALEOP:44BASSsensA,0,
ALEOP:44BAUGnordA,ALEOP:49BAUGleblA,0,
