latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
47.41652,-0.7377014,45.0,7200,Europe/Paris,GMT+2

time,temperature_2m (°C)
2026-09-02T00:00,17.6
2026-09-02T01:00,16.9
2026-09-02T02:00,15.7
2026-09-02T03:00,15.9
2026-09-02T04:00,15.7
2026-09-02T05:00,14.5
2026-09-02T06:00,14.4
2026-09-02T07:00,13.7
2026-09-02T08:00,13.7
2026-09-02T09:00,15.7
2026-09-02T10:00,17.9
2026-09-02T11:00,20.1
2026-09-02T12:00,22.1
2026-09-02T13:00,23.1
2026-09-02T14:00,24.2
2026-09-02T15:00,24.8
2026-09-02T16:00,25.1
2026-09-02T17:00,24.9
2026-09-02T18:00,24.5
2026-09-02T19:00,23.7
2026-09-02T20:00,22.4
2026-09-02T21:00,20.7
2026-09-02T22:00,19.5
2026-09-02T23:00,18.5
