stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding,coordinate_status
ALEOP:ST:17MARAalig,Place du Marquis d'Aligré,46.307326,-0.991486,1,0,within_pdl_bbox
ALEOP:ST:17ROCHhopi,Hôpital,46.158677,-1.142913,1,0,within_pdl_bbox
ALEOP:ST:17ROCHjoff,Boulevard Joffre,46.158894,-1.14174,1,0,within_pdl_bbox
ALEOP:ST:17ROCHpatt,Patte d'Oie,46.166798,-1.136464,1,0,within_pdl_bbox
ALEOP:ST:17ROCHrout,Gare Routière,46.152616,-1.140464,1,0,within_pdl_bbox
ALEOP:ST:35GUERfoir,Champ de Foire,47.94046,-1.229259,1,0,within_pdl_bbox
ALEOP:ST:35REDOsncf,Gare SNCF,47.651131,-2.088635,1,0,within_pdl_bbox
ALEOP:ST:44AIGRcoin,Le Haut Coin,47.082715,-1.415833,1,0,within_pdl_bbox
ALEOP:ST:44AIGRjaun,La Jaunaie,47.092935,-1.440734,1,0,within_pdl_bbox
ALEOP:ST:44AIGRmair,Mairie,47.075425,-1.397835,1,0,within_pdl_bbox
ALEOP:ST:44AIGRples,Le Plessis,47.078397,-1.405983,1,0,within_pdl_bbox
ALEOP:ST:44ANCEgran,Les Grands Champs,47.372382,-1.182109,1,0,within_pdl_bbox
ALEOP:ST:44ANCEjose,Lycée St Joseph Accès Sncf,47.368136,-1.180821,1,0,within_pdl_bbox
ALEOP:ST:44ANCEmari,Quai de La Marine,47.363878,-1.176691,1,0,within_pdl_bbox
ALEOP:ST:44ANCEsncf,Gare SNCF,47.369199,-1.177173,1,0,within_pdl_bbox
ALEOP:ST:44ARTHboiz,La Boizonnière,47.119524,-1.952384,1,0,within_pdl_bbox
ALEOP:ST:44ARTHperc,Haute Perche,47.131285,-1.969731,1,0,within_pdl_bbox
ALEOP:ST:44ARTHrela,Place du relais,47.114039,-1.937546,1,0,within_pdl_bbox
ALEOP:ST:44ARTHsica,La Sicaudais,47.187342,-1.947477,1,0,within_pdl_bbox
ALEOP:ST:44AUBIgare,Gare,47.683209,-1.446095,1,0,within_pdl_bbox
ALEOP:ST:44AVESpote,Le Poteau Vert,47.611749,-2.039088,1,0,within_pdl_bbox
ALEOP:ST:44BARBbarb,Église Barbechat,47.277289,-1.286995,1,0,within_pdl_bbox
ALEOP:ST:44BASSchap,La Chapelaine,47.269772,-1.334772,1,0,within_pdl_bbox
ALEOP:ST:44BASSmair,Mairie,47.271323,-1.339865,1,0,within_pdl_bbox
ALEOP:ST:44BASSroll,Les Rollées,47.273575,-1.324846,1,0,within_pdl_bbox
ALEOP:ST:44BASSsens,Sensive,47.262444,-1.342724,1,0,within_pdl_bbox
ALEOP:ST:44BAUGnord,Centre travaux nord,47.546626,-0.10711,1,0,within_pdl_bbox
ALEOP:ST:44BESNangl,Anglourie,47.392754,-2.092666,1,0,within_pdl_bbox
ALEOP:ST:44BESNcent,Centre,47.397897,-2.091341,1,0,within_pdl_bbox
ALEOP:ST:44BESNgare,Gare,47.401975,-2.090815,1,0,within_pdl_bbox
ALEOP:ST:44BESNharr,ZA Harrois,47.404696,-2.090481,1,0,within_pdl_bbox
ALEOP:ST:44BESNmora,La Morandais,47.384286,-2.09354,1,0,within_pdl_bbox
ALEOP:ST:44BESNneuf,Moulin Neuf,47.38814,-2.093132,1,0,within_pdl_bbox
ALEOP:ST:44BIGNaire,Les Aires,47.09863,-1.493372,1,0,within_pdl_bbox
ALEOP:ST:44BIGNboul,La Boule d'Or,47.090662,-1.529551,1,0,within_pdl_bbox
ALEOP:ST:44BIGNbour,Pré du Bourg,47.092208,-1.494497,1,0,within_pdl_bbox
ALEOP:ST:44BIGNegli,Église,47.098151,-1.488975,1,0,within_pdl_bbox
ALEOP:ST:44BIGNherm,Les 3 Hermines,47.108917,-1.472117,1,0,within_pdl_bbox
ALEOP:ST:44BIGNjarr,La Jarrie,47.105531,-1.508921,1,0,within_pdl_bbox
ALEOP:ST:44BIGNloir,La Loirière,47.097085,-1.53257,1,0,within_pdl_bbox
ALEOP:ST:44BLAIcarr,La carrée,47.461921,-1.783651,1,0,within_pdl_bbox
ALEOP:ST:44BLAIcomm,Centre Commercial,47.473462,-1.746779,1,0,within_pdl_bbox
ALEOP:ST:44BLAIgrav,Graviers,47.467975,-1.768705,1,0,within_pdl_bbox
ALEOP:ST:44BLAIhote,Hotel de France,47.443772,-1.813482,1,0,within_pdl_bbox
ALEOP:ST:44BLAIjoll,Place Jollan de Clerville,47.475393,-1.761539,1,0,within_pdl_bbox
ALEOP:ST:44BLAIpiet,Pont Piétin,47.46117,-1.814676,1,0,within_pdl_bbox
ALEOP:ST:44BLAIplon,Plongeon,47.467026,-1.717071,1,0,within_pdl_bbox
ALEOP:ST:44BOISbeur,Pré Beurel,47.518057,-2.038028,1,0,within_pdl_bbox
ALEOP:ST:44BOIScomm,Centre Commercial,47.51165,-2.039266,1,0,within_pdl_bbox
ALEOP:ST:44BOISferm,Ferme École,47.486752,-2.051276,1,0,within_pdl_bbox
ALEOP:ST:44BOISgour,Gourap,47.506548,-2.041732,1,0,within_pdl_bbox
ALEOP:ST:44BONNbonn,Église Bonnoeuvre,47.527702,-1.237117,1,0,within_pdl_bbox
ALEOP:ST:44BOUEmair,Mairie,47.320538,-1.910052,1,0,within_pdl_bbox
ALEOP:ST:44BOUGalle,Allende,47.175342,-1.62354,1,0,within_pdl_bbox
ALEOP:ST:44BOURecol,Écoles,47.042093,-1.949039,1,0,within_pdl_bbox
ALEOP:ST:44BOUVcorb,Place Abbé Corbille,47.417578,-1.845761,1,0,within_pdl_bbox
ALEOP:ST:44BOUVeloi,Saint-Eloi,47.417177,-1.893481,1,0,within_pdl_bbox
ALEOP:ST:44BRETbell,Bellevue,47.30693,-2.179319,1,0,within_pdl_bbox
ALEOP:ST:44BRETgaul,Place de Gaulle,47.326739,-2.156071,1,0,within_pdl_bbox
ALEOP:ST:44BRETmont,Montoir Centre,47.327659,-2.152899,1,0,within_pdl_bbox
ALEOP:ST:44BRETschw,Dr Schweitzer,47.326377,-2.161557,1,0,within_pdl_bbox
ALEOP:ST:44BRETvern,Jules Verne,47.326204,-2.145516,1,0,within_pdl_bbox
ALEOP:ST:44BREVbosq,Le Bosquet,47.264021,-2.164607,1,0,within_pdl_bbox
ALEOP:ST:44BREVbres,Pôle de Bresse,47.247905,-2.162267,1,0,within_pdl_bbox
ALEOP:ST:44BREVdepa,Maison Départementale,47.267552,-2.159272,1,0,within_pdl_bbox
ALEOP:ST:44BREVfont,Fontaine,47.242979,-2.157317,1,0,within_pdl_bbox
ALEOP:ST:44BREVprin,Basse Prinais,47.26292,-2.153826,1,0,within_pdl_bbox
ALEOP:ST:44BRIVbina,Le Binar,47.440607,-2.043242,1,0,within_pdl_bbox
ALEOP:ST:44BRIVegli,Eglise,47.459561,-2.006173,1,0,within_pdl_bbox
ALEOP:ST:44BRIVlome,Saint Lomer,47.446783,-2.028897,1,0,within_pdl_bbox
ALEOP:ST:44BRIVrout,Les 4 Routes,47.460677,-1.997243,1,0,within_pdl_bbox
ALEOP:ST:44BRIVturc,La Turcaudais,47.462139,-1.989622,1,0,within_pdl_bbox
ALEOP:ST:44BRTAcoue,La Croix Couëdel,47.416256,-1.796908,1,0,within_pdl_bbox
ALEOP:ST:44BRTAgera,La Porte du Gué-Géraud,47.409391,-1.760128,1,0,within_pdl_bbox
ALEOP:ST:44BRTAmade,La Madeleine,47.414942,-1.787868,1,0,within_pdl_bbox
ALEOP:ST:44BRTAride,La Ridelais,47.416408,-1.828132,1,0,within_pdl_bbox
ALEOP:ST:44CAMPegli,Église,47.412734,-1.969151,1,0,within_pdl_bbox
ALEOP:ST:44CAMPgicq,La Gicquelais,47.40529,-1.96256,1,0,within_pdl_bbox
ALEOP:ST:44CAMPharl,La Harlière,47.409953,-1.931523,1,0,within_pdl_bbox
ALEOP:ST:44CARQbrec,Bréchetière,47.284667,-1.503577,1,0,within_pdl_bbox
ALEOP:ST:44CARQcent,Centre,47.29686,-1.490535,1,0,within_pdl_bbox
ALEOP:ST:44CARQepea,L'Épeau,47.321332,-1.469831,1,0,within_pdl_bbox
